,idFinal,Segment,Proposal,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,lex
0,58_LibroBAC.pdf,"Como antes explicamos, las finanzas y los conceptos y prácticas que las sustentan no pueden percibirse independientemente o desligadas del contexto económico y de los conceptos que a la vez lo explican; por tal razón es que la entrada al libro, además de la comprensión de la educación financiera, su significado y sus implicaciones, incluye también unos conceptos o nociones básicas referentes e indispensables sobre la Economía.","Como antes explicamos, las finanzas están sustentadas por conceptos y prácticas. Estos aspectos no se pueden desligar del contexto económico ni los conceptos que los explican. Por esto, la entrada al libro incluye nociones básicas referentes e indispensables sobre la Economía. También contiene la comprensión de la educación financiera, su significado y sus implicaciones.",Fiorella,15,21,8,5,,,,,,0
1,60_LibroBAC.pdf,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las finanzas, pero siempre en la óptica de lo personal y lo familiar, ya que para la gestión empresarial, institucional y de país, el tratamiento de los temas exigiría unas consideraciones más especializadas y por ende, de mayor nivel académico.","Una vez resueltos estos asuntos, se abordan algunos aspectos e instrumentos propios de las finanzas. Esto siempre desde la perspectiva personal y familiar. Además, el tratamiento de los temas exigiría unas consideraciones más especializadas y un mayor nivel académico para el manejo de la gestión empresarial, institucional y de país.",Fiorella,1,5,15,17,2,19,,,,1
2,62_LibroBAC.pdf,"Pero aquí no termina la utilidad del libro, ya que además de la función anotada, él puede ser fuente también para elaborar otros materiales, impresos o virtuales, destinados a diferentes poblaciones que en algún momento pudieran ser consideradas como destinatarias para ser capacitadas en el campo de las finanzas personales, familiares e incluso microempresariales, si éstas ingresaran a algún programa de empresarialismo o de emprendimiento.","Pero aquí no termina la utilidad del libro, pues este tiene una función anotada y puede ser fuente para elaborar otros materiales destinados a diferentes poblaciones. Estas personas podrían ser capacitadas en el campo de las finanzas personales, familiares y microempresariales si ingresan a un programa de empresarialismo.",Fiorella,15,19,5,16,6,,,,,0
3,63_LibroBAC.pdf,"Por lo demás, el libro en sí, termina siendo útil para personas profesionales no especialistas en áreas económicas, financieras y contables, para personas empleadas en los sectores públicos y privados y para todas aquellas personas que sientan necesidad e interés por incursionar en el campo de las finanzas personales y familiares.","Por lo demás, el libro es útil para personas profesionales no especialistas en economía, finanzas y contaduría. También es beneficioso para empleados públicos y privados y para quienes sientan necesidad e interés por estudiar las finanzas personales y familiares.",Fiorella,5,15,6,,,,,,,0
4,69_LibroBAC.pdf,"Servir de documento de lectura y consulta sobre el tema de la administración de las finanzas personales y familiares a profesionales no especialistas en economía, finanzas o contaduría, a personas empleadas del sector público y privado y a todas aquellas personas que tengan necesidad e interés de conocer sobre el tema.","Debe servir como documento de lectura y consulta sobre la administración de las finanzas personales y familiares. Este será destinado a personas profesionales no especialistas en economía, finanzas o contaduría, a empleados públicos y privados y para quienes sientan necesidad e interés de conocer sobre el tema.",Fiorella,15,12,6,5,,,,,,0
5,74_LibroBAC.pdf,"Luego de haber obtenido la anterior información y haber hecho acopio de las fuentes bibliográficas y virtuales respectivas, el equipo procedió a realizar la redacción o construcción del libro.",El equipo realizó la redacción del libro luego de obtener la información anterior y reunir las fuentes bibliográficas y virtuales respectivas.,Fiorella,19,5,6,1,,,,,,1
6,75_LibroBAC.pdf,"Una vez realizadas las anteriores actividades, se sometió el mismo a un proceso de validación de su estructura, contenidos y pertinencia y además de sus aspectos filológicos, por parte de un equipo de especialistas, también interdisciplinario, que se gestionó para tal fin.","Tras realizar las actividades anteriores, un equipo interdisciplinario de especialistas validó su estructura, contenidos, pertinencia y aspectos filológicos.",Fiorella,15,19,5,,,,,,,0
7,76_LibroBAC.pdf,"Realizada la validación y los ajustes del libro que ella generó, se realizó el diseño editorial y se procedió a la impresión del mismo.",Se realizó el diseño editorial y se imprimió el libro después de validarlo y hacer ajustes.,Fiorella,19,6,,,,,,,,0
8,77_LibroBAC.pdf,"Para la elaboración del documento se integró un equipo profesional interdisciplinario de trabajo con énfasis en administración de empresas, economía, planificación y educación, que tuvo a su cargo la investigación previa sobre el tema, la caracterización de la población meta o destinataria de la capacitación, la construcción de la estructura de contenidos y finalmente el desarrollo de los mismos.","Se integró un equipo profesional interdisciplinario para la elaboración del documento. Este grupo se especializa en administración de empresas, economía, planificación y educación. También, tuvo a su cargo la investigación previa sobre el tema, la caracterización de la población destinataria de la capacitación, la elaboración de la estructura de contenidos y el desarrollo de estos.",Fiorella,15,19,4,5,,,,,,0
9,78_LibroBAC.pdf,"La actividad investigativa se asumió con base en dos necesidades o aspectos principales: primero, identificación y análisis de modelos o propuestas para la capacitación en la administración de las finanzas personales y familiares existentes en los diferentes países, especialmente de Norteamérica y de Latinoamérica y segundo, análisis del currículo de la educación secundaria del país para identificar y caracterizar los aportes sobre el tema que estuvieren o no presentes en el mismo.","La actividad investigativa se abordó con base en dos aspectos principales: en primer lugar, se identificaron y analizaron modelos o propuestas para la capacitación sobre la administración de las finanzas personales y familiares que existe en diferentes países. En segundo lugar, se analizó el currículo de la educación secundaria del país. Esto se hizo con el fin de identificar y caracterizar los aportes sobre administración que estuvieran o no en el plan de estudios.",Fiorella,15,5,11,16,,,,,,0
10,80_LibroBAC.pdf,"No obstante, siendo el dinero un factor de primera importancia en la vida financiera de las personas, de la familia y de la sociedad, el mismo ha sido marcado por algunos mitos, derivados o generados del mal uso que muchas personas le han dado al mismo.","No obstante, el dinero ha sido marcado por algunos mitos. Estas invenciones se generan del mal uso que muchas personas le han dado. Sin embargo, el dinero es sumamente importante en la vida financiera de las personas, de la familia y de la sociedad.",Fiorella,12,15,5,19,,,,,,0
11,81_LibroBAC.pdf,"El dinero, como medio de pago para la adquisición de bienes y servicios o como descargo de deudas y obligaciones, es un recurso esencial sobre el cual se fundamentan la economía y las finanzas, que en la práctica o en la acción, están estrechamente relacionadas y complementadas.","El dinero es un medio de pago para la adquisición de bienes y servicios o una manera de liberarse de deudas y obligaciones. También, la economía y las finanzas se fundamentan sobre este recurso esencial y están estrechamente relacionadas y complementadas en la práctica.",Fiorella,15,4,19,17,,,,,,0
12,82_LibroBAC.pdf,"Sin dinero no se puede vivir, pudiéndose afirmar también en que no sólo de dinero vive el ser humano, la familia y la sociedad, aunque también de dinero.","Se puede afirmar que el ser humano, la familia y la sociedad no solo viven de dinero, pero tampoco se puede vivir sin él.",Fiorella,19,5,,,,,,,,0
13,83_LibroBAC.pdf,"Para responder o contribuir a subsanar el vacío que ha dejado la educación en las personas, especialmente en lo que tiene que ver con la educación financiera, es que se ha presentado la iniciativa de capacitar en tal sentido y para ayudar en tal propósito es que se ha construido a la vez este Libro Maestro el cual proporcionará como fuente, la estructura básica de dicha capacitación y los contenidos también básicos para la misma.","Se ha presentado la iniciativa de capacitar a las personas sobre educación financiera para responder o subsanar el vacío que ha dejado el sistema educativo. Asimismo, este Libro Maestro se ha elaborado para ayudar en tal propósito y proporcionar la estructura básica y los contenidos básicos para la capacitación.",Fiorella,19,15,6,4,5,,,,,0
14,84_LibroBAC.pdf,"Para la elaboración del libro se siguió un proceso metodológico que incluyó una etapa de investigación de experiencias sobre el tema en otros países, una de caracterización de la población sujeto de la capacitación, una de identificación de fuentes documentales, una de elaboración o desarrollo del libro y una final de validación y ajuste del documento antes de la correspondiente de diseño editorial y de publicación.","El proceso metodológico empleado para la elaboración del libro incluyó distintas etapas. En la primera, se investigaron experiencias sobre el tema en otros países. En la segunda, se caracterizó la población meta de la capacitación. En la tercera, se identificaron las fuentes documentales. En la cuarta, se elaboró el libro. En la quinta y última, se validó y ajustó el documento antes del diseño editorial y de la publicación.",Fiorella,19,15,4,5,,,,,,0
