idFinal,Segment,Proposal,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7
1_LibroBANSEFI.Sin copyright.pdf,"Este curso, aunque sirve a todas las personas, está orientado a las personas de menores ingresos.","Este curso está orientado a personas con menores ingresos, aunque sirve a todo público.",1 Filtrado_Annette_DC.xlsx,10,19,4,,,,,
2_LibroBANSEFI.Sin copyright.pdf,"Si bien comparten los mismos objetivos que cualquier otra persona—seguridad económica para sí mismos, para sus familias y las generaciones futuras—, la escasez de recursos y opciones a su alcance con frecuencia los lleva a un estado de desesperanza e inercia.","Buscan seguridad económica para sí mismos, sus familias y las generaciones futuras, pero la escasez de recursos y opciones a su alcance con frecuencia los lleva a un estado de desesperanza e inercia.",1 Filtrado_Annette_DC.xlsx,10,9,5,,,,,
6_LibroBANSEFI.Sin copyright.pdf,"Cuando uno está mejor informado para tomar decisiones financieras, uno puede planificar y alcanzar los objetivos propuestos.","Con mejor información para tomar decisiones financieras, se puede planificar y alcanzar los objetivos propuestos.",1 Filtrado_Annette_DC.xlsx,5,6,,,,,,
7_LibroBANSEFI.Sin copyright.pdf,"Más aún, una vez que las personas adquieren las habilidades que brinda la educación financiera, dichas habilidades permanecerán con ellas por siempre. Un sólo curso en educación financiera puede resultar en beneficios para toda la vida.","Cuando las personas adquieren las habilidades que brinda la educación financiera, se recuerdan siempre. Un sólo curso en educación financiera puede resultar en beneficios para toda la vida.",1 Filtrado_Annette_DC.xlsx,6,9,5,,,,,
9_LibroBANSEFI.Sin copyright.pdf,Con frecuencia son las mujeres quienes asumen la responsabilidad del manejo del dinero del hogar en circunstancias inestables y con pocos recursos a su disposición.,"Las mujeres asumen la responsabilidad del manejo del dinero del hogar con frecuencia, en circunstancias inestables y con pocos recursos a su disposición.",1 Filtrado_Annette_DC.xlsx,7,19,5,9,,,,
10_LibroBANSEFI.Sin copyright.pdf,"Al desarrollar una cultura financiera, estas mujeres pueden estar preparadas para anticipar las necesidades de cada ciclo de vida y enfrentar emergencias inesperadas sin tener que endeudarse innecesariamente.","Al desarrollar una cultura financiera, ellas pueden prepararse para anticipar las necesidades de cada ciclo de vida y enfrentar emergencias sin tener que endeudarse.",1 Filtrado_Annette_DC.xlsx,5,6,,,,,,
11_LibroBANSEFI.Sin copyright.pdf,"En cuanto a los jóvenes, la educación financiera puede reducir su vulnerabilidad frente a los muchos riesgos asociados con su transición a la adultez y a la vez mejorar sus habilidades para administrar su dinero a medida que ingresan al mundo laboral.",La educación financiera dirigida a los jóvenes puede reducir su vulnerabilidad frente a los riesgos asociados con su transición a la adultez. Y a la vez mejorar sus habilidades para administrar su dinero a medida que ingresan al mundo laboral.,1 Filtrado_Annette_DC.xlsx,15,6,5,,,,,
14_LibroBANSEFI.Sin copyright.pdf,"Las instituciones que ofrecen servicios financieros formales están comenzando a ofrecer una mayor variedad de productos y servicios para sus clientes, tales como ahorros voluntarios, seguros y transferencias de dinero.","Las instituciones que ofrecen servicios financieros formales han comenzado a ofrecer una mayor variedad de productos y servicios para sus clientes, como ahorros voluntarios, seguros y transferencias de dinero.",1 Filtrado_Annette_DC.xlsx,9,12,,,,,,
17_LibroBANSEFI.Sin copyright.pdf,"Hasta hoy, la promoción de los productos de las instituciones financieras no siempre ha contemplado una cuidadosa explicación ni capacitación sobre sus características.",La promoción de los productos de las instituciones financieras no ha considerado una explicación cuidadosa ni capacitación sobre sus características.,1 Filtrado_Annette_DC.xlsx,19,1,,,,,,
18_LibroBANSEFI.Sin copyright.pdf,"Para evaluar las alternativas y seleccionar los productos más apropiados a sus necesidades,los clientes requieren comprender las características de cada opción, saber cómo calcular y comparar sus costos y cómo determinar su capacidad de endeudamiento.","Los clientes requieren evaluar cada opción, saber cómo calcular y comparar sus costos, y cómo determinar su capacidad de endeudamiento, para finalmente seleccionar los productos más apropiados a sus necesidades.",1 Filtrado_Annette_DC.xlsx,19,5,,,,,,
21_LibroBANSEFI.Sin copyright.pdf,"Con el fin de lograr un cambio de comportamiento sostenible, el plan de estudios se ha basado en el método centrado en el alumno, capturando lo que los adultos aprenden mejor.","El plan de estudios se basa en un método centrado en el alumno y captura lo que los adultos aprenden mejor, para lograr un cambio de comportamiento sostenible.",1 Filtrado_Annette_DC.xlsx,4,10,12,19,20,,,
22_LibroBANSEFI.Sin copyright.pdf,"Se construye sobre la base de lo que los alumnos adultos ya saben, haciendo que el nuevo contenido sea relevante para sus vidas y dándoles la oportunidad de practicar sus nuevas habilidades.","Se construye sobre la base de lo que los alumnos adultos ya saben, lo que hace que el nuevo contenido sea relevante y les da la oportunidad de practicar sus nuevas habilidades.",1 Filtrado_Annette_DC.xlsx,12,5,,,,,,
26_LibroBANSEFI.Sin copyright.pdf,"El plan de estudios ofrece: una ficha temática con información básica sobre el tema a tratar, el presente Manual de Capacitación con instrucciones detalladas para la conducción de cada sesión educativa del módulo y una Guía de Capacitación para los Capacitadores, que prepara a quienes conducirán el taller de capacitación.","El plan de estudios ofrece: una ficha temática con información básica sobre el tema a tratar, el presente Manual de Capacitación con instrucciones detalladas para la conducción de cada sesión educativa del módulo. Y una Guía de Capacitación que prepara a quienes conducirán el taller de capacitación.",1 Filtrado_Annette_DC.xlsx,15,5,,,,,,
30_LibroBANSEFI.Sin copyright.pdf,"Educación financiera:  Su dinero y su futuro es un curso completo de capacitación que ayuda a las personas a comprender cómo y por qué establecer metas financieras y un presupuesto; los tipos de servicios financieros y su uso apropiado; el propósito del ahorro y los productos disponibles; la responsabilidad asociada a la obtención de un préstamo, así como a elegir una institución crediticia apropiada e identificar los costos asociados a los productos financieros; y los envíos de dinero.","Educación financiera: Su dinero y su futuro, es un curso completo de capacitación que ayuda a las personas a comprender cómo y por qué establecer metas financieras y un presupuesto. También, los tipos de servicios financieros y su uso apropiado, el propósito del ahorro y los productos disponibles, la responsabilidad asociada a la obtención de un préstamo. A elegir una institución crediticia apropiada e identificar los costos asociados a los productos financieros, y los envíos de dinero.",1 Filtrado_Annette_DC.xlsx,15,9,21,,,,,
31_LibroBANSEFI.Sin copyright.pdf,"Para usted, el capacitador, el manual contiene información de referencia para orientarlo en el tema, así como una descripción paso por paso de las actividades educativas que puede desarrollar con los participantes.",El manual contiene información de referencia para orientar al capacitador en el tema y una descripción paso por paso de las actividades educativas que puede desarrollar con los participantes.,1 Filtrado_Annette_DC.xlsx,5,16,9,,,,,
