temperature,top_p,top_k,repetition_penalty,SARI_mean,SARI_std
0.3,0.8,20,1.0,34.953126297782944,0.19228409374406116
0.3,0.8,20,1.1,28.704766683561296,0.10127815234824485
0.3,0.8,20,1.2,23.46743548512842,0.12064288386610851
0.3,0.8,50,1.0,34.822568864880694,0.23977973707933675
0.3,0.8,50,1.1,28.617287642616976,0.17570232109322304
0.3,0.8,50,1.2,23.40501060977468,0.12715975654776737
0.3,0.8,100,1.0,34.971456684907906,0.1840298196661209
0.3,0.8,100,1.1,28.57558402583112,0.19347717393717204
0.3,0.8,100,1.2,23.436750674617237,0.1011098815833426
0.3,0.9,20,1.0,34.7624740966768,0.18600380146904752
0.3,0.9,20,1.1,28.60499169963302,0.16826496281960013
0.3,0.9,20,1.2,23.26953572743851,0.09178358584698819
0.3,0.9,50,1.0,34.87123336805371,0.20291198993714923
0.3,0.9,50,1.1,28.526309115041585,0.18543126393255557
0.3,0.9,50,1.2,23.27890827647145,0.1227966315371676
